plot_id;red_edge;green;blue;red;nir;timepoint
132;0.162940746;0.062331106;0.032925523;0.12000619;0.218493503;1.5
133;0.142475913;0.057785179;0.034892291;0.116829731;0.192785499;1.5
134;0.156200308;0.065843475;0.040961477;0.125406616;0.210610952;1.5
135;0.151057432;0.060626765;0.037978556;0.130393655;0.201837131;1.5
136;0.194090107;0.07403177;0.039608085;0.155884081;0.242041514;1.5
137;0.189171284;0.072142836;0.030496452;0.100439792;0.250807679;1.5
138;0.119907633;0.044367869;0.026169931;0.095907982;0.169628833;1.5
139;0.200196623;0.080314651;0.046060085;0.163902523;0.241891533;1.5
140;0.230301132;0.096775736;0.061760977;0.193295996;0.275146399;1.5
141;0.155970532;0.059597231;0.032820658;0.106759755;0.215639742;1.5
142;0.203826872;0.080705238;0.039246;0.123183584;0.25840749;1.5
143;0.186033475;0.077054492;0.048179389;0.146099453;0.235216382;1.5
144;0.166588705;0.069574464;0.047089873;0.144078368;0.21116444;1.5
145;0.1779408;0.069725958;0.038925817;0.136543834;0.226265809;1.5
146;0.170263069;0.066767383;0.042484536;0.136807246;0.221093346;1.5
147;0.129446251;0.048027663;0.027942787;0.08894991;0.186693573;1.5
148;0.135078713;0.052459426;0.031990832;0.111311344;0.188366098;1.5
149;0.173045824;0.075573127;0.048673554;0.144572273;0.224232901;1.5
150;0.171990968;0.074279506;0.052182915;0.151170141;0.219918289;1.5
151;0.217256326;0.089987032;0.057348634;0.183264759;0.264345062;1.5
152;0.1677557;0.065035245;0.036010619;0.118371725;0.21964802;1.5
153;0.195328918;0.072668617;0.032254714;0.096303444;0.262446774;1.5
154;0.166016074;0.072521543;0.04983306;0.146432128;0.206930854;1.5
155;0.170070117;0.072088314;0.047882692;0.142056715;0.217003611;1.5
156;0.187314527;0.07662722;0.04281544;0.139564888;0.233587316;1.5
157;0.136379453;0.055619207;0.035837316;0.113679742;0.182309406;1.5
158;0.207840365;0.086659917;0.05511195;0.173634251;0.253648448;1.5
159;0.155266177;0.06515524;0.044598713;0.13644901;0.204346621;1.5
160;0.177405228;0.071549138;0.042220328;0.146268396;0.224529279;1.5
161;0.154582949;0.059086794;0.03438595;0.119609476;0.20637064;1.5
162;0.172221513;0.072993989;0.046048332;0.131034086;0.223086705;1.5
163;0.188870242;0.083480735;0.057644861;0.167314885;0.236207796;1.5
164;0.140328248;0.054599595;0.02951894;0.085975105;0.203571584;1.5
165;0.198991048;0.083870849;0.052671509;0.167055536;0.24392575;1.5
166;0.23685709;0.100135612;0.054021079;0.139915908;0.299336945;1.5
167;0.163196645;0.065888438;0.039297837;0.130132915;0.209153164;1.5
168;0.207515199;0.086488363;0.049215073;0.137660199;0.260015558;1.5
169;0.127258451;0.055623081;0.037523046;0.108551594;0.167738911;1.5
170;0.121562857;0.049615577;0.031978579;0.101685331;0.168879769;1.5
171;0.185176539;0.080868871;0.052168587;0.158240329;0.226989081;1.5
172;0.18521629;0.081597405;0.052482714;0.153629533;0.225645954;1.5
173;0.154064481;0.067440079;0.045768024;0.130191138;0.197518788;1.5
