"","plot","NDRE1","NDRE2","NDRE3","NDRE4","NDVI5","NDRE6","NDRE7"
"1",8001,0.120839441716053,0.222603124415393,0.161698915090551,0.305903660488281,0.293879432111808,0.18110498986303,0.141041210569947
"2",8002,0.140017200347708,0.248267084646095,0.197131536005257,0.323908639601971,0.304178098084554,0.212162772248972,0.147771604245247
"3",8003,0.111668728683759,0.200169287403259,0.12605253019811,0.270506670394009,0.293847452836113,0.22411476827894,0.133572125385017
"4",8004,0.139959965649734,0.248480597555766,0.18813787448546,0.310287840398744,0.296457148583451,0.208645833195285,0.134651603646947
"5",8005,0.136401622051809,0.239525014140815,0.17952871845327,0.302300415712456,0.289563834931134,0.209345090981542,0.142781751185324
"6",8006,0.151864837745801,0.267578390810533,0.212191351389505,0.333786601574962,0.304262606436646,0.21130772082449,0.157336585108277
"7",8007,0.148701949536843,0.264324021974518,0.219730860181148,0.351417224437656,0.318026283594286,0.219066312374233,0.144396490516739
"8",8008,0.120535520826794,0.213757421154655,0.153419305851658,0.293425553907096,0.283764757214528,0.189544663656963,0.135120486064948
"9",8009,0.117385786771163,0.21199180361831,0.164158479092205,0.303480792312351,0.294360195606771,0.200152559749636,0.150386572706598
"10",8010,0.122401411083848,0.211365838937218,0.165466524583816,0.308868876248964,0.304853512651951,0.223190751769471,0.142416244815235
"11",8011,0.11624658472682,0.205555692627212,0.15776618202539,0.307893938159641,0.312794640671597,0.208729876079474,0.133902291551328
"12",8012,0.107165300842603,0.186235213238362,0.133058890113453,0.275208524772204,0.292947747571097,0.205710235829335,0.135578647736323
"13",8013,0.105774430841172,0.183902215321619,0.11572616652722,0.262280027958559,0.280056130284784,0.186674269741692,0.13478393728154
"14",8014,0.116760415904229,0.20214422580148,0.158796617873734,0.293268776145639,0.298337125153232,0.182457708453287,0.133588132722387
"15",8015,0.132121270174163,0.244252295853721,0.219740804182384,0.338756389741753,0.31205596890965,0.174493892141811,0.148272352266762
"16",8016,0.100129998790797,0.174756773628687,0.110227421905181,0.246707292390133,0.263384440579022,0.179764789288927,0.135857443251582
"17",8017,0.106715575226489,0.187266190377219,0.13275543598599,0.258520607428009,0.273447078299124,0.196652259189845,0.146587605070515
"18",8018,0.104725568184431,0.176870905221061,0.122424171277508,0.27176342690472,0.297477812567731,0.235120904251755,0.148386884339657
"19",8019,0.129584210889401,0.22744817574849,0.206400565049101,0.323097777251458,0.314052187849878,0.205580765704633,0.154341045398632
"20",8020,0.128658504805761,0.230600271850719,0.199005075657694,0.313282049132145,0.307955085987727,0.191760319108876,0.125863497156525
"21",8021,0.121673321641117,0.2114864131646,0.187209852200197,0.318937081832441,0.315802850700571,0.217622117091588,0.128689731740653
"22",8022,0.110810689378418,0.18403061183004,0.12932494152368,0.270577003304501,0.28606114747257,0.201008021873859,0.128576795462972
