"","plot","NDVI1","NDVI2","NDVI3","NDVI4","NDVI5","NDVI6"
"1",7001,0.298601492156545,0.374758527149198,0.327325234713851,0.442479846488299,0.504417750319661,0.429944614175751
"2",7002,0.438529599692308,0.647402933772428,0.648498434925772,0.696451914804124,0.657371075486836,0.362344381457537
"3",7003,0.385802518083652,0.533073702344173,0.505374947601879,0.630502699417836,0.612677131146924,0.358091831608441
"4",7004,0.334618873889207,0.480201981103138,0.437150176618554,0.534591826121102,0.563407852747089,0.369569279740585
"5",7005,0.326927874059595,0.474192811881089,0.469545941383364,0.545865970455633,0.547333331850045,0.383259674465902
"6",7006,0.422301068632141,0.591903796022089,0.535238641617608,0.617934161990827,0.580032091204546,0.355686306201915
"7",7007,0.393197612539063,0.571096145531614,0.536395540121446,0.611931966841856,0.608722115387119,0.371648330556566
"8",7008,0.3754797578783,0.548438824852543,0.525127382553057,0.613616929665573,0.594266592163266,0.397561439147818
"9",7009,0.423227414723067,0.61201655590854,0.586536834408953,0.688838963071686,0.624658056164372,0.359934653036974
"10",7010,0.576059122426146,0.757989569411727,0.750289894639953,0.797751541783993,0.747074658348302,0.317454662414907
"11",7011,0.45711829964443,0.673835428836186,0.645960454769813,0.727411779023055,0.702492826651012,0.389986356921036
"12",7012,0.494039439966737,0.661371532438819,0.640393127066303,0.700063498793936,0.603756916026088,0.346670779589738
"13",7013,0.458544050688395,0.70269171580644,0.681434391758277,0.742725350598924,0.697738630038185,0.323728357751017
"14",7014,0.53644004813632,0.73463937060033,0.699710208229416,0.78057945657854,0.660482504417189,0.324913452408017
"15",7015,0.47926058432018,0.701212775754518,0.680140463690205,0.759852151447488,0.691581115623529,0.328321974784057
"16",7016,0.517978212940069,0.712870027735921,0.659568016157726,0.75789241092055,0.704584290019914,0.31425636464992
"17",7017,0.57213215973019,0.796991750421705,0.766614519321398,0.80376317203309,0.714417116248171,0.332530926874256
"18",7018,0.549048924590759,0.750648086717333,0.696014599392726,0.79233947184742,0.727801979827195,0.319696427879188
"19",7019,0.550465627400644,0.753441558466043,0.744478306249136,0.79733710340127,0.722411793675525,0.316246201275093
"20",7020,0.547556703384846,0.765969320434011,0.732953314853332,0.786938057031188,0.744807346092486,0.303760363825862
"21",7021,0.595923517016123,0.731695596939819,0.67781470133414,0.7538551168318,0.672410142101968,0.333952498804579
"22",7022,0.586174901073611,0.728504302871664,0.678809884059345,0.795033288058647,0.733956161200195,0.341039318203219
