Env;m;MeanCorr;SDCorr
HELF24;Model_0226;0.33;0.08
HELF24;Model_0132;0.33;0.10
HELF24;Model_0287;0.33;0.10
HELF24;Model_0117;0.33;0.08
HELF24;Model_0272;0.33;0.08
HELF24;Model_0112;0.33;0.08
HELF24;Model_0267;0.33;0.08
HELF24;Model_0005;0.33;0.09
HELF24;Model_0010;0.33;0.09
HELF24;Model_0032;0.33;0.09
HELF24;Model_0187;0.33;0.09
HELF24;Model_0118;0.33;0.08
HELF24;Model_0273;0.33;0.08
HELF24;Model_0111;0.33;0.08
HELF24;Model_0024;0.33;0.09
HELF24;Model_0179;0.33;0.09
HELF24;Model_0023;0.33;0.09
HELF24;Model_0178;0.33;0.09
HELF24;Model_0098;0.33;0.08
HELF24;Model_0253;0.33;0.08
HELF24;Model_0095;0.33;0.08
HELF24;Model_0250;0.33;0.08
HELF24;Model_0131;0.33;0.09
HELF24;Model_0286;0.33;0.09
HELF24;Model_0126;0.33;0.08
HELF24;Model_0281;0.33;0.08
HELF24;Model_0039;0.33;0.09
HELF24;Model_0194;0.33;0.09
HELF24;Model_0154;0.33;0.08
HELF24;Model_0309;0.33;0.08
HELF24;Model_0072;0.33;0.08
HELF24;Model_0227;0.33;0.08
HELF24;Model_0099;0.33;0.08
HELF24;Model_0254;0.33;0.08
HELF24;Model_0030;0.33;0.08
HELF24;Model_0185;0.33;0.08
HELF24;Model_0031;0.33;0.08
HELF24;Model_0186;0.33;0.08
HELF24;Model_0159;0.33;0.09
HELF24;Model_0314;0.33;0.09
HELF24;Model_0077;0.33;0.09
HELF24;Model_0232;0.33;0.09
HELF24;Model_0058;0.33;0.09
HELF24;Model_0213;0.33;0.09
HELF24;Model_0062;0.33;0.09
HELF24;Model_0217;0.33;0.09
HELF24;Model_0051;0.33;0.09
HELF24;Model_0206;0.33;0.09
HELF24;Model_0046;0.33;0.08
HELF24;Model_0201;0.33;0.08
HELF24;Model_0038;0.33;0.09
HELF24;Model_0193;0.33;0.09
HELF24;Model_0172;0.33;0.08
HELF24;Model_0327;0.33;0.08
HELF24;Model_0143;0.33;0.08
HELF24;Model_0298;0.33;0.08
HELF24;Model_0090;0.33;0.08
HELF24;Model_0245;0.33;0.08
HELF24;Model_0144;0.33;0.08
HELF24;Model_0299;0.33;0.08
HELF24;Model_0171;0.33;0.08
HELF24;Model_0326;0.33;0.08
HELF24;Model_0089;0.33;0.08
HELF24;Model_0244;0.33;0.08
HELF24;Model_0100;0.33;0.08
HELF24;Model_0255;0.33;0.08
HELF24;Model_0037;0.33;0.09
HELF24;Model_0192;0.33;0.09
HELF24;Model_0153;0.33;0.10
HELF24;Model_0308;0.33;0.10
HELF24;Model_0044;0.33;0.09
HELF24;Model_0199;0.33;0.09
HELF24;Model_0004;0.33;0.09
HELF24;Model_0009;0.33;0.09
HELF24;Model_0045;0.33;0.08
HELF24;Model_0200;0.33;0.08
HELF24;Model_0137;0.33;0.08
HELF24;Model_0292;0.33;0.08
HELF24;Model_0165;0.33;0.08
HELF24;Model_0320;0.33;0.08
HELF24;Model_0083;0.33;0.08
HELF24;Model_0238;0.33;0.08
HELF24;Model_0136;0.33;0.08
HELF24;Model_0291;0.33;0.08
HELF24;Model_0055;0.33;0.09
HELF24;Model_0210;0.33;0.09
HELF24;Model_0164;0.33;0.08
HELF24;Model_0319;0.33;0.08
HELF24;Model_0082;0.33;0.08
HELF24;Model_0237;0.33;0.08
HELF24;Model_0116;0.33;0.08
HELF24;Model_0271;0.33;0.08
HELF24;Model_0115;0.33;0.08
HELF24;Model_0270;0.33;0.08
HELF24;Model_0109;0.33;0.08
HELF24;Model_0264;0.33;0.08
HELF24;Model_0108;0.33;0.08
HELF24;Model_0263;0.33;0.08
HELF24;Model_0021;0.32;0.09
HELF24;Model_0176;0.32;0.09
HELF24;Model_0036;0.32;0.09
HELF24;Model_0191;0.32;0.09
HELF24;Model_0122;0.32;0.08
HELF24;Model_0277;0.32;0.08
HELF24;Model_0150;0.32;0.08
HELF24;Model_0305;0.32;0.08
HELF24;Model_0068;0.32;0.08
HELF24;Model_0223;0.32;0.08
HELF24;Model_0123;0.32;0.08
HELF24;Model_0278;0.32;0.08
HELF24;Model_0306;0.32;0.08
HELF24;Model_0224;0.32;0.08
HELF24;Model_0130;0.32;0.08
HELF24;Model_0285;0.32;0.08
HELF24;Model_0028;0.32;0.09
HELF24;Model_0183;0.32;0.09
