Env;m;MeanCorr;SDCorr
MCG23;Model_0164;0.11;0.06
MCG23;Model_0319;0.11;0.06
MCG23;Model_0165;0.11;0.06
MCG23;Model_0320;0.11;0.06
MCG23;Model_0136;0.11;0.06
MCG23;Model_0291;0.11;0.06
MCG23;Model_0137;0.11;0.06
MCG23;Model_0292;0.11;0.06
MCG23;Model_0090;0.11;0.06
MCG23;Model_0245;0.11;0.06
MCG23;Model_0089;0.11;0.06
MCG23;Model_0244;0.11;0.06
MCG23;Model_0108;0.11;0.06
MCG23;Model_0263;0.11;0.06
MCG23;Model_0109;0.11;0.06
MCG23;Model_0264;0.11;0.06
MCG23;Model_0068;0.11;0.06
MCG23;Model_0223;0.11;0.06
MCG23;Model_0069;0.11;0.06
MCG23;Model_0224;0.11;0.06
MCG23;Model_0276;0.11;0.03
MCG23;Model_0149;0.11;0.03
MCG23;Model_0304;0.11;0.03
MCG23;Model_0172;0.11;0.06
MCG23;Model_0171;0.11;0.06
MCG23;Model_0326;0.11;0.06
MCG23;Model_0144;0.11;0.06
MCG23;Model_0143;0.11;0.06
MCG23;Model_0298;0.11;0.06
MCG23;Model_0150;0.11;0.06
MCG23;Model_0305;0.11;0.06
MCG23;Model_0151;0.11;0.06
MCG23;Model_0306;0.11;0.06
MCG23;Model_0122;0.11;0.06
MCG23;Model_0277;0.11;0.06
MCG23;Model_0123;0.11;0.06
MCG23;Model_0278;0.11;0.06
MCG23;Model_0116;0.11;0.06
MCG23;Model_0271;0.11;0.06
MCG23;Model_0115;0.11;0.06
MCG23;Model_0270;0.11;0.06
MCG23;Model_0096;0.11;0.06
MCG23;Model_0251;0.11;0.06
MCG23;Model_0097;0.11;0.06
MCG23;Model_0252;0.11;0.06
MCG23;Model_0074;0.11;0.04
MCG23;Model_0229;0.11;0.04
MCG23;Model_0156;0.11;0.04
MCG23;Model_0311;0.11;0.04
MCG23;Model_0128;0.11;0.04
MCG23;Model_0283;0.11;0.04
MCG23;Model_0037;0.10;0.06
MCG23;Model_0192;0.10;0.06
MCG23;Model_0079;0.10;0.06
MCG23;Model_0234;0.10;0.06
MCG23;Model_0038;0.10;0.07
MCG23;Model_0193;0.10;0.07
MCG23;Model_0023;0.10;0.07
MCG23;Model_0178;0.10;0.07
MCG23;Model_0054;0.10;0.06
MCG23;Model_0209;0.10;0.06
MCG23;Model_0093;0.10;0.06
MCG23;Model_0248;0.10;0.06
MCG23;Model_0133;0.10;0.06
MCG23;Model_0288;0.10;0.06
MCG23;Model_0161;0.10;0.06
MCG23;Model_0316;0.10;0.06
MCG23;Model_0086;0.10;0.06
MCG23;Model_0241;0.10;0.06
MCG23;Model_0053;0.10;0.06
MCG23;Model_0208;0.10;0.06
MCG23;Model_0022;0.10;0.06
MCG23;Model_0177;0.10;0.06
MCG23;Model_0005;0.10;0.06
MCG23;Model_0010;0.10;0.06
MCG23;Model_0140;0.10;0.06
MCG23;Model_0295;0.10;0.06
MCG23;Model_0060;0.10;0.06
MCG23;Model_0215;0.10;0.06
MCG23;Model_0147;0.10;0.06
MCG23;Model_0302;0.10;0.06
MCG23;Model_0061;0.10;0.06
MCG23;Model_0216;0.10;0.06
MCG23;Model_0175;0.10;0.06
MCG23;Model_0330;0.10;0.06
MCG23;Model_0065;0.10;0.06
MCG23;Model_0220;0.10;0.06
MCG23;Model_0168;0.10;0.06
MCG23;Model_0323;0.10;0.06
MCG23;Model_0064;0.10;0.06
MCG23;Model_0219;0.10;0.06
MCG23;Model_0057;0.10;0.06
MCG23;Model_0212;0.10;0.06
MCG23;Model_0119;0.10;0.06
MCG23;Model_0274;0.10;0.06
MCG23;Model_0112;0.10;0.06
MCG23;Model_0267;0.10;0.06
MCG23;Model_0056;0.10;0.06
MCG23;Model_0211;0.10;0.06
MCG23;Model_0052;0.10;0.06
MCG23;Model_0207;0.10;0.06
MCG23;Model_0024;0.10;0.07
MCG23;Model_0179;0.10;0.07
MCG23;Model_0039;0.10;0.07
MCG23;Model_0194;0.10;0.07
MCG23;Model_0048;0.10;0.06
MCG23;Model_0203;0.10;0.06
MCG23;Model_0050;0.10;0.06
MCG23;Model_0205;0.10;0.06
MCG23;Model_0035;0.10;0.06
MCG23;Model_0190;0.10;0.06
MCG23;Model_0049;0.10;0.06
MCG23;Model_0204;0.10;0.06
MCG23;Model_0034;0.10;0.06
MCG23;Model_0189;0.10;0.06
MCG23;Model_0036;0.10;0.07
MCG23;Model_0191;0.10;0.07
MCG23;Model_0021;0.10;0.07
MCG23;Model_0176;0.10;0.07
MCG23;Model_0059;0.10;0.06
MCG23;Model_0214;0.10;0.06
MCG23;Model_0072;0.10;0.06
MCG23;Model_0227;0.10;0.06
MCG23;Model_0051;0.10;0.06
MCG23;Model_0206;0.10;0.06
MCG23;Model_0063;0.10;0.06
MCG23;Model_0218;0.10;0.06
MCG23;Model_0003;0.10;0.06
MCG23;Model_0008;0.10;0.06
MCG23;Model_0126;0.10;0.06
MCG23;Model_0281;0.10;0.06
MCG23;Model_0058;0.10;0.06
MCG23;Model_0213;0.10;0.06
MCG23;Model_0154;0.10;0.06
MCG23;Model_0309;0.10;0.06
MCG23;Model_0062;0.10;0.06
MCG23;Model_0217;0.10;0.06
MCG23;Model_0100;0.10;0.06
MCG23;Model_0255;0.10;0.06
MCG23;Model_0055;0.10;0.06
MCG23;Model_0210;0.10;0.06
MCG23;Model_0033;0.10;0.06
MCG23;Model_0188;0.10;0.06
MCG23;Model_0047;0.10;0.06
MCG23;Model_0202;0.10;0.06
MCG23;Model_0032;0.10;0.06
MCG23;Model_0187;0.10;0.06
MCG23;Model_0045;0.10;0.06
MCG23;Model_0200;0.10;0.06
MCG23;Model_0030;0.10;0.06
MCG23;Model_0185;0.10;0.06
MCG23;Model_0031;0.09;0.06
MCG23;Model_0186;0.09;0.06
MCG23;Model_0046;0.09;0.06
MCG23;Model_0201;0.09;0.06
MCG23;Model_0044;0.09;0.05
MCG23;Model_0199;0.09;0.05
MCG23;Model_0043;0.09;0.06
MCG23;Model_0198;0.09;0.06
MCG23;Model_0028;0.09;0.06
MCG23;Model_0183;0.09;0.06
MCG23;Model_0029;0.09;0.05
MCG23;Model_0184;0.09;0.05
MCG23;Model_0132;0.08;NA
MCG23;Model_0287;0.08;NA
MCG23;Model_0078;0.08;NA
MCG23;Model_0233;0.08;NA
MCG23;Model_0160;0.08;NA
MCG23;Model_0315;0.08;NA
MCG23;Model_0260;0.08;NA
MCG23;Model_0002;0.06;0.07
MCG23;Model_0007;0.06;0.07
MCG23;Model_0001;0.06;0.07
MCG23;Model_0006;0.06;0.07
MCG23;Model_0041;0.06;0.07
MCG23;Model_0196;0.06;0.07
MCG23;Model_0026;0.06;0.07
MCG23;Model_0181;0.06;0.07
MCG23;Model_0042;0.06;0.07
MCG23;Model_0197;0.06;0.07
MCG23;Model_0027;0.06;0.07
MCG23;Model_0182;0.06;0.07
MCG23;Model_0040;0.06;0.07
MCG23;Model_0195;0.06;0.07
MCG23;Model_0025;0.06;0.07
MCG23;Model_0180;0.06;0.07
SNY22;Model_0240;0.12;0.15
SNY22;Model_0322;0.12;0.15
SNY22;Model_0294;0.12;0.15
SNY22;Model_0094;0.10;0.12
SNY22;Model_0249;0.10;0.12
SNY22;Model_0148;0.10;0.12
SNY22;Model_0303;0.10;0.12
SNY22;Model_0066;0.10;0.12
SNY22;Model_0221;0.10;0.12
SNY22;Model_0101;0.09;0.12
SNY22;Model_0256;0.09;0.12
SNY22;Model_0120;0.09;0.12
SNY22;Model_0275;0.09;0.12
SNY22;Model_0067;0.09;0.12
SNY22;Model_0222;0.09;0.12
SNY22;Model_0055;0.09;0.12
SNY22;Model_0210;0.09;0.12
SNY22;Model_0004;0.09;0.12
SNY22;Model_0009;0.09;0.12
SNY22;Model_0062;0.09;0.12
SNY22;Model_0217;0.09;0.12
SNY22;Model_0058;0.09;0.12
SNY22;Model_0213;0.09;0.12
SNY22;Model_0107;0.09;0.11
SNY22;Model_0262;0.09;0.11
SNY22;Model_0149;0.09;0.12
SNY22;Model_0304;0.09;0.12
SNY22;Model_0051;0.09;0.12
SNY22;Model_0206;0.09;0.12
SNY22;Model_0102;0.09;0.12
SNY22;Model_0257;0.09;0.12
SNY22;Model_0121;0.09;0.12
SNY22;Model_0276;0.09;0.12
SNY22;Model_0077;0.09;0.12
SNY22;Model_0232;0.09;0.12
SNY22;Model_0032;0.09;0.12
SNY22;Model_0187;0.09;0.12
SNY22;Model_0156;0.09;0.12
SNY22;Model_0311;0.09;0.12
SNY22;Model_0159;0.09;0.12
SNY22;Model_0314;0.09;0.12
SNY22;Model_0074;0.09;0.12
SNY22;Model_0229;0.09;0.12
SNY22;Model_0131;0.09;0.12
SNY22;Model_0286;0.09;0.12
SNY22;Model_0098;0.09;0.12
SNY22;Model_0253;0.09;0.12
SNY22;Model_0152;0.09;0.12
SNY22;Model_0307;0.09;0.12
SNY22;Model_0081;0.09;0.12
SNY22;Model_0236;0.09;0.12
SNY22;Model_0124;0.09;0.12
SNY22;Model_0279;0.09;0.12
SNY22;Model_0070;0.09;0.12
SNY22;Model_0225;0.09;0.12
SNY22;Model_0095;0.09;0.12
SNY22;Model_0250;0.09;0.12
SNY22;Model_0128;0.09;0.12
SNY22;Model_0283;0.09;0.12
SNY22;Model_0163;0.09;0.11
SNY22;Model_0318;0.09;0.11
SNY22;Model_0135;0.09;0.11
SNY22;Model_0290;0.09;0.11
SNY22;Model_0106;0.09;0.11
SNY22;Model_0261;0.09;0.11
SNY22;Model_0162;0.09;0.11
SNY22;Model_0317;0.09;0.11
SNY22;Model_0134;0.09;0.11
SNY22;Model_0289;0.09;0.11
SNY22;Model_0028;0.09;0.11
SNY22;Model_0183;0.09;0.11
SNY22;Model_0080;0.09;0.11
SNY22;Model_0235;0.09;0.11
SNY22;Model_0110;0.09;0.12
SNY22;Model_0265;0.09;0.12
SNY22;Model_0138;0.09;0.12
SNY22;Model_0293;0.09;0.12
SNY22;Model_0166;0.09;0.12
SNY22;Model_0321;0.09;0.12
SNY22;Model_0155;0.09;0.11
SNY22;Model_0310;0.09;0.11
SNY22;Model_0084;0.09;0.12
SNY22;Model_0239;0.09;0.12
SNY22;Model_0127;0.09;0.11
SNY22;Model_0282;0.09;0.11
SNY22;Model_0073;0.09;0.11
SNY22;Model_0228;0.09;0.11
SNY22;Model_0266;0.09;0.12
SNY22;Model_0056;0.09;0.11
SNY22;Model_0211;0.09;0.11
SNY22;Model_0064;0.09;0.11
SNY22;Model_0219;0.09;0.11
SNY22;Model_0060;0.09;0.11
SNY22;Model_0215;0.09;0.11
SNY22;Model_0260;0.09;0.12
SNY22;Model_0053;0.09;0.11
SNY22;Model_0208;0.09;0.11
SNY22;Model_0034;0.09;0.11
SNY22;Model_0189;0.09;0.11
SNY22;Model_0254;0.09;0.12
SNY22;Model_0118;0.09;0.11
SNY22;Model_0273;0.09;0.11
SNY22;Model_0088;0.09;0.12
SNY22;Model_0243;0.09;0.12
SNY22;Model_0114;0.09;0.11
SNY22;Model_0269;0.09;0.11
SNY22;Model_0146;0.09;0.11
SNY22;Model_0301;0.09;0.11
SNY22;Model_0170;0.08;0.11
SNY22;Model_0325;0.08;0.11
SNY22;Model_0092;0.08;0.11
SNY22;Model_0247;0.08;0.11
SNY22;Model_0154;0.08;0.12
SNY22;Model_0309;0.08;0.12
SNY22;Model_0100;0.08;0.12
SNY22;Model_0255;0.08;0.12
SNY22;Model_0126;0.08;0.12
SNY22;Model_0281;0.08;0.12
SNY22;Model_0174;0.08;0.11
SNY22;Model_0329;0.08;0.11
SNY22;Model_0047;0.08;0.12
SNY22;Model_0202;0.08;0.12
SNY22;Model_0072;0.08;0.12
SNY22;Model_0227;0.08;0.12
SNY22;Model_0030;0.08;0.11
SNY22;Model_0185;0.08;0.11
SNY22;Model_0142;0.08;0.11
SNY22;Model_0297;0.08;0.11
SNY22;Model_0003;0.08;0.12
SNY22;Model_0008;0.08;0.12
SNY22;Model_0059;0.08;0.12
SNY22;Model_0214;0.08;0.12
SNY22;Model_0063;0.08;0.12
SNY22;Model_0218;0.08;0.12
SNY22;Model_0052;0.08;0.12
SNY22;Model_0207;0.08;0.12
SNY22;Model_0168;0.08;0.11
SNY22;Model_0323;0.08;0.11
SNY22;Model_0112;0.08;0.11
SNY22;Model_0267;0.08;0.11
SNY22;Model_0140;0.08;0.11
SNY22;Model_0295;0.08;0.11
SNY22;Model_0033;0.08;0.12
SNY22;Model_0188;0.08;0.12
SNY22;Model_0049;0.08;0.11
SNY22;Model_0204;0.08;0.11
SNY22;Model_0097;0.08;0.12
SNY22;Model_0252;0.08;0.12
SNY22;Model_0086;0.08;0.11
SNY22;Model_0241;0.08;0.11
SNY22;Model_0150;0.08;0.12
SNY22;Model_0305;0.08;0.12
SNY22;Model_0122;0.08;0.12
SNY22;Model_0277;0.08;0.12
SNY22;Model_0096;0.08;0.12
SNY22;Model_0251;0.08;0.12
SNY22;Model_0043;0.08;0.11
SNY22;Model_0198;0.08;0.11
SNY22;Model_0068;0.08;0.12
SNY22;Model_0223;0.08;0.12
SNY22;Model_0029;0.08;0.11
SNY22;Model_0184;0.08;0.11
SNY22;Model_0151;0.08;0.12
SNY22;Model_0306;0.08;0.12
SNY22;Model_0123;0.08;0.12
SNY22;Model_0278;0.08;0.12
SNY22;Model_0069;0.08;0.12
SNY22;Model_0224;0.08;0.12
SNY22;Model_0045;0.08;0.11
SNY22;Model_0200;0.08;0.11
SNY22;Model_0021;0.08;0.12
SNY22;Model_0176;0.08;0.12
SNY22;Model_0164;0.08;0.12
SNY22;Model_0319;0.08;0.12
SNY22;Model_0108;0.08;0.12
SNY22;Model_0263;0.08;0.12
SNY22;Model_0136;0.08;0.12
SNY22;Model_0291;0.08;0.12
SNY22;Model_0082;0.08;0.12
SNY22;Model_0237;0.08;0.12
SNY22;Model_0109;0.08;0.12
SNY22;Model_0264;0.08;0.12
SNY22;Model_0165;0.08;0.12
SNY22;Model_0320;0.08;0.12
SNY22;Model_0137;0.08;0.12
SNY22;Model_0292;0.08;0.12
SNY22;Model_0161;0.08;0.12
SNY22;Model_0316;0.08;0.12
SNY22;Model_0133;0.08;0.12
SNY22;Model_0288;0.08;0.12
SNY22;Model_0005;0.08;0.12
SNY22;Model_0010;0.08;0.12
SNY22;Model_0083;0.08;0.12
SNY22;Model_0238;0.08;0.12
SNY22;Model_0079;0.08;0.12
SNY22;Model_0234;0.08;0.12
SNY22;Model_0169;0.08;0.11
SNY22;Model_0324;0.08;0.11
SNY22;Model_0048;0.08;0.11
SNY22;Model_0203;0.08;0.11
SNY22;Model_0141;0.08;0.11
SNY22;Model_0296;0.08;0.11
SNY22;Model_0113;0.08;0.11
SNY22;Model_0268;0.08;0.11
SNY22;Model_0173;0.08;0.11
SNY22;Model_0328;0.08;0.11
SNY22;Model_0145;0.08;0.11
SNY22;Model_0300;0.08;0.11
SNY22;Model_0087;0.08;0.11
SNY22;Model_0242;0.08;0.11
SNY22;Model_0117;0.08;0.12
SNY22;Model_0272;0.08;0.12
SNY22;Model_0158;0.08;0.12
SNY22;Model_0313;0.08;0.12
SNY22;Model_0091;0.08;0.12
SNY22;Model_0246;0.08;0.12
SNY22;Model_0130;0.08;0.12
SNY22;Model_0285;0.08;0.12
SNY22;Model_0175;0.08;0.11
SNY22;Model_0330;0.08;0.11
SNY22;Model_0147;0.08;0.11
SNY22;Model_0302;0.08;0.11
SNY22;Model_0104;0.08;0.12
SNY22;Model_0259;0.08;0.12
SNY22;Model_0119;0.08;0.11
SNY22;Model_0274;0.08;0.11
SNY22;Model_0157;0.08;0.12
SNY22;Model_0312;0.08;0.12
SNY22;Model_0076;0.08;0.12
SNY22;Model_0231;0.08;0.12
SNY22;Model_0093;0.08;0.11
SNY22;Model_0248;0.08;0.11
SNY22;Model_0129;0.08;0.12
SNY22;Model_0284;0.08;0.12
SNY22;Model_0050;0.08;0.11
SNY22;Model_0205;0.08;0.11
SNY22;Model_0044;0.08;0.11
SNY22;Model_0199;0.08;0.11
SNY22;Model_0103;0.08;0.12
SNY22;Model_0258;0.08;0.12
SNY22;Model_0061;0.08;0.11
SNY22;Model_0216;0.08;0.11
SNY22;Model_0065;0.08;0.11
SNY22;Model_0220;0.08;0.11
SNY22;Model_0057;0.08;0.11
SNY22;Model_0212;0.08;0.11
SNY22;Model_0075;0.08;0.12
SNY22;Model_0230;0.08;0.12
SNY22;Model_0054;0.08;0.11
SNY22;Model_0209;0.08;0.11
SNY22;Model_0035;0.08;0.11
SNY22;Model_0190;0.08;0.11
SNY22;Model_0022;0.08;0.12
SNY22;Model_0177;0.08;0.12
SNY22;Model_0046;0.08;0.11
SNY22;Model_0201;0.08;0.11
SNY22;Model_0031;0.08;0.11
SNY22;Model_0186;0.08;0.11
SNY22;Model_0171;0.08;0.12
SNY22;Model_0326;0.08;0.12
SNY22;Model_0143;0.08;0.12
SNY22;Model_0298;0.08;0.12
SNY22;Model_0115;0.07;0.12
SNY22;Model_0270;0.07;0.12
SNY22;Model_0089;0.07;0.12
SNY22;Model_0244;0.07;0.12
SNY22;Model_0172;0.07;0.12
SNY22;Model_0327;0.07;0.12
SNY22;Model_0144;0.07;0.12
SNY22;Model_0299;0.07;0.12
SNY22;Model_0116;0.07;0.12
SNY22;Model_0271;0.07;0.12
SNY22;Model_0036;0.07;0.12
SNY22;Model_0191;0.07;0.12
SNY22;Model_0090;0.07;0.12
SNY22;Model_0245;0.07;0.12
SNY22;Model_0023;0.07;0.12
SNY22;Model_0178;0.07;0.12
SNY22;Model_0038;0.07;0.12
SNY22;Model_0193;0.07;0.12
SNY22;Model_0037;0.07;0.12
SNY22;Model_0192;0.07;0.12
SNY22;Model_0024;0.07;0.12
SNY22;Model_0179;0.07;0.12
SNY22;Model_0039;0.07;0.12
SNY22;Model_0194;0.07;0.12
SNY22;Model_0025;0.06;0.11
SNY22;Model_0180;0.06;0.11
SNY22;Model_0040;0.06;0.11
SNY22;Model_0195;0.06;0.11
SNY22;Model_0001;0.05;0.11
SNY22;Model_0006;0.05;0.11
SNY22;Model_0026;0.05;0.10
SNY22;Model_0181;0.05;0.10
SNY22;Model_0041;0.05;0.10
SNY22;Model_0196;0.05;0.10
SNY22;Model_0002;0.05;0.11
SNY22;Model_0007;0.05;0.11
SNY22;Model_0027;0.05;0.10
SNY22;Model_0182;0.05;0.10
SNY22;Model_0042;0.05;0.10
SNY22;Model_0197;0.05;0.10
